Agency,Account,State,Recipient,Project, Amount ,Requested by,Requested by 2
Department of Justice,OJP Byrne,FL,Miami-Dade Sheriff’s Office (MDSO),Miami-Dade Sheriff’s Office Violence Reduction Initiative,"$1,250,000 ",Salazar,
Department of Justice,OJP Byrne, FL,City of Miami,City of Miami Marked Police Cruisers,"$2,100,000 ",Salazar,
Department of Justice,OJP Byrne, OR,City of Beaverton,City of Beaverton Behavioral Health Court,"$500,000 ",Salinas,
Department of Justice,OJP Byrne, OR,Liberty House,Liberty House Clinical Services for Children Facing Concerns of Abuse or Neglect,"$1,000,000 ",Salinas,
Department of Justice,OJP Byrne,OR,Washington County,Washington County Sheriff’s Office Patrol Equipment,"$1,031,000 ",Salinas,
Department of Justice,OJP Byrne,CA,Rı´o Hondo Community College District,Public Safety Scenario Training Unit (PSSTU),"$1,031,000 ",Sanchez (CA),
Department of Justice,OJP Byrne, LA,Tangipahoa Parish Government,Emergency Operations Mobile Command Center,"$2,194,993 ",Scalise,
Department of Justice,OJP Byrne,PA,County of Delaware,Delaware County Client Advocates Program,"$902,000 ",Scanlon,
Department of Justice,OJP Byrne, PA,Villanova University,Villanova University Legal Support Clinic,"$850,000 ",Scanlon,
Department of Justice,OJP Byrne, KS,Shawnee County Department of Corrections,Operation and Development of Behavioral Health Units within Detention Facility,"$750,000 ",Schmidt,
Department of Justice,OJP Byrne, IL,Lake County State’s Attorney’s Office,Lake County State’s Attorney’s Community Violence Intervention Project,"$1,000,000 ",Schneider,
Department of Justice,OJP Byrne, MI,Kent County,Real Time Intelligence Center (RTIC),"$750,000 ",Scholten,
Department of Justice,OJP Byrne, WA,Chelan County Sheriff’s Office,"Chelan County Sheriff’s Office De-escalation Tools Chelan County, WA","$713,000 ",Schrier,
Department of Justice,OJP Byrne, WA,City of Issaquah Police Department,"Issaquah Police Department Body Worn Cameras Equipment Issaquah, WA","$452,000 ",Schrier,
Department of Justice,OJP Byrne, WA,King County Sheriff’s Office,"King County Sheriff’s Office Air Support Unit Upgrade Program Seattle, WA","$1,031,000 ",Schrier,
Department of Justice,OJP Byrne, GA,City of Jonesboro Police Department,Jonesboro Enhancing Law Enforcement and Public Safety Project,"$1,031,000 ",Scott (GA),
Department of Justice,OJP Byrne, GA,City of Lawrenceville Police Department,Lawrenceville Police Department Equipment and Technology Update Project,"$1,031,000 ",Scott (GA),
Department of Justice,OJP Byrne, GA,Clayton County Police Department,Clayton County Police Department Precinct Anti-Crime Taskforce Project,"$1,031,000 ",Scott (GA),
Department of Justice,OJP Byrne, GA,Newton County Sheriff’s Office,Newton County Sheriff Department Equipment Project,"$39,000 ",Scott (GA),
Department of Justice,OJP Byrne, VA,"An Achievable Dream, Inc.",An Achievable Dream Social and Emotional Support and Crisis Prevention,"$790,000 ",Scott (VA),
Department of Justice,OJP Byrne, VA,City of Newport News,Crime Prevention and Youth Diversion Program,"$750,000 ",Scott (VA),
Department of Justice,OJP Byrne, VA,Hampton Roads Police Athletic League,Hampton Roads Youth Crime Prevention and Community Engagement Program,"$860,000 ",Scott (VA),
Department of Justice,OJP Byrne, VA,Urban League of Hampton Roads,Incarcerated Persons Reentry Initiative,"$1,039,000 ",Scott (VA),
Department of Justice,OJP Byrne, AL,City of Brighton,Project Brighton S.E.T: Strengthening Brighton’s Police Force for a Safer Community,"$750,000 ",Sewell,
Department of Justice,OJP Byrne,CA,Beit T’Shuvah,"The Combatting Crime through Integrate Substance Use Disorder Treatment, Education and Prevention Program","$1,039,000 ",Sherman,
Department of Justice,OJP Byrne,CA,The Jewish Federation Council of Greater Los Angeles,The Community Security Initiative Program,"$1,031,000 ",Sherman,
Department of Justice,OJP Byrne,CA,City of Los Angeles,The Crisis and Incident Response through Community-led Engagement Program,"$2,062,000 ",Sherman,Rivas
Department of Justice,OJP Byrne, NJ,Essex County Sheriff Department,Special Needs Assistance Technology,"$375,000 ",Sherrill,
Department of Justice,OJP Byrne, NJ,New Jersey State Police,Safety Inspection Enhancement Program,"$400,000 ",Sherrill,
Department of Justice,OJP Byrne, CA,City of Oakland,City of Oakland Department of Violence Prevention Enhancements (Operation Ceasefire),"$1,039,000 ",Simon,
Department of Justice,OJP Byrne,NJ,Covenant House New Jersey,Covenant House Statewide Human Trafficking Prevention Program for Schools,"$247,000 ",Smith (NJ),
Department of Justice,OJP Byrne, NJ,"Dottie’s House, Inc.",Dottie’s House Domestic Violence Shelter Continuation of Services,"$271,498 ",Smith (NJ),
Department of Justice,OJP Byrne, NJ,Lakewood Shomrim Inc. DBA Lakewood Civilian Safety Watch,Lakewood Shomrim Radio Communication Enhancement Project,"$275,000 ",Smith (NJ),
Department of Justice,OJP Byrne, NJ,Ocean County Sheriff’s Department,Ocean County Sheriff’s Office Fleet Augmentation,"$480,000 ",Smith (NJ),
Department of Justice,OJP Byrne, WA,City of Seattle,Post-Overdose Response Team Expansion,"$1,031,000 ",Smith (WA),
Department of Justice,OJP Byrne, WA,City of Seattle,WELD King County Jail Pilot Housing and Successful Reentry Program,"$1,031,000 ",Smith (WA),
Department of Justice,OJP Byrne, WA,Purpose Dignity Action,Chinatown-International District Public Safety Team Project,"$1,039,000 ",Smith (WA),
Department of Justice,OJP Byrne, FL,Osceola Sheriff’s Office,Central Florida Internet Crimes Against Children Task Force Equipment,"$1,000,000 ",Soto,
Department of Justice,OJP Byrne, NY,Clinton County Sheriff’s Office,"Clinton County, NY, Maritime Patrol Vessel","$500,000 ",Stefanik,
Department of Justice,OJP Byrne, FL,All Star Children’s Foundation,Juvenile Justice Prevention Services Program,"$4,200,000 ",Steube,
Department of Justice,OJP Byrne, MI,Oakland County,Safer Michigan with CLEMIS,"$1,031,000 ",Stevens,
Department of Justice,OJP Byrne, AL,Town of Somerville,Somerville Police Department Public Safety Vehicles and Equipment,"$199,762 ",Strong,
Department of Justice,OJP Byrne, AL,City of Priceville,Priceville Police Department Public Safety Equipment Modernization,"$592,305 ",Strong,
Department of Justice,OJP Byrne, IN,Fort Wayne Police Department,Fort Wayne Police Department Rapid DNA Machine Procurement,"$500,000 ",Stutzman,
Department of Justice,OJP Byrne, VA,Boulder Crest Foundation,Peer-Led Posttraumatic Growth Training for Law Enforcement,"$1,000,000 ",Subramanyam,
Department of Justice,OJP Byrne, CA,Alameda County Sheriff’s Office,Alameda County Sheriff’s Office Law Enforcement Mental Health and Wellness Platform,"$700,000 ",Swalwell,
Department of Justice,OJP Byrne, CA,Magnolia Women’s Recovery Programs,"Legal Support for Criminal Justice, Public Safety, and Reentry Initiative","$403,000 ",Swalwell,
Department of Justice,OJP Byrne, OH,Clermont County Coroner’s Office,Clermont County Coroner Forensics Lab,"$400,800 ",Taylor,
Department of Justice,OJP Byrne, MI,UNITAS North America,UNITY Detroit Center for Victims of Exploitation and Trafficking,"$1,031,000 ",Thanedar,
Department of Justice,OJP Byrne, PA,Jefferson County,Jefferson County 911 Center,"$462,416 ",Thompson (PA),
Department of Justice,OJP Byrne, NV,City of Henderson,Last Warning Shot Initiative,"$1,031,000 ",Titus,
Department of Justice,OJP Byrne, MI,City of Detroit,City of Detroit Pathway to Employment,"$600,000 ",Tlaib,
Department of Justice,OJP Byrne, CA,Autism Society Inland Empire,Inland Empire Law Enforcement Training Initiative,"$1,031,000 ",Torres (CA),
Department of Justice,OJP Byrne, NY,New York City Health + Hospitals/Lincoln Hospital,New York City Health + Hospitals/Lincoln Hospital Youth Violence Intervention Initiative,"$350,000 ",Torres (NY),
Department of Justice,OJP Byrne, CA,Ontario-Montclair School District (OMSD),Ontario-Montclair School District’s Safer Schools Initiative,"$1,031,000 ",Torres (CA),
Department of Justice,OJP Byrne, NY,Police Athletic League (PAL),Crime Prevention Through Youth Development,"$500,000 ",Torres (NY),
Department of Justice,OJP Byrne, MA,The Phoenix,The Phoenix Essex County Community Reentry Project,"$750,000 ",Trahan,
Department of Justice,OJP Byrne, CA,HOPE Center of Orange County,North Orange County Public Safety Collaborative,"$1,031,000 ",Tran,
Department of Justice,OJP Byrne, IL,Joliet Township,"Law Enforcement Collaboration to Prevent Workplace Crime in Will County, IL","$339,000 ",Underwood,
Department of Justice,OJP Byrne, IL,Will County Workforce Services DivisionLWIA–10,"Reducing Recidivism and Supporting Reentry in Will County, IL","$600,000 ",Underwood,
Department of Justice,OJP Byrne, NJ,HERO Campaign for Designated Drivers,HERO Campaign for Designated Drivers,"$500,000 ",Van Drew,
Department of Justice,OJP Byrne, TX,Texas Health Resources,Sexual Assault Nurse Examiners (SANE) Program,"$269,186 ",Van Duyne,
Department of Justice,OJP Byrne, TX,Dallas Ft. Worth Airport,Autonomous Mobile Robotics & Advanced-Xray Solutions,"$1,100,000 ",Van Duyne,
Department of Justice,OJP Byrne, CA,City of San Diego,Drone Spotter Detection System,"$275,000 ",Vargas,
Department of Justice,OJP Byrne, TX,Cook Children’s Medical Center,Cook Children’s Child Advocacy and Resource Evaluation (C.A.R.E.) Team,"$1,031,000 ",Veasey,
Department of Justice,OJP Byrne, TX,JPS Health Network,JPS Forensic Nursing Services Expansion,"$1,000,000 ",Veasey,
Department of Justice,OJP Byrne, TX,United Way of Tarrant County,One Second Collaborative,"$1,031,000 ",Veasey,
Department of Justice,OJP Byrne, NY,Bangladeshi American Community Development and Youth Service,Workforce Development for Low-Income and Justice-Involved Residents,"$250,000 ",Velazquez,
Department of Justice,OJP Byrne, NY,"Comunilife, Inc.",Adolescent Suicide Prevention Activities,"$200,000 ",Velazquez,
Department of Justice,OJP Byrne, NY,Ozone Park Residents Block AssociationOzpkrba Inc,Block Watchers Program & Safety Initiative,"$345,000 ",Velazquez,
Department of Justice,OJP Byrne, CA,City of Gardena,Gardena Juvenile Justice & Intervention Project (GJJIP),"$550,000 ",Waters,
Department of Justice,OJP Byrne, CA,Los Angeles International Airport Police Department (LAXPD),"LAXPD Vehicle Fleet, Upgrades, & Equipment","$963,000 ",Waters,
Department of Justice,OJP Byrne, FL,Orange County Sheriff Office,Central Florida Training Equipment Orange County Sheriff,"$342,961 ",Webster,
Department of Justice,OJP Byrne, CA,City of Lancaster Police Department,Advanced Equipment for Lancaster Police Department,"$1,023,000 ",Whitesides,
Department of Justice,OJP Byrne, CA,"Los Angeles County Sheriff’s Department, North Patrol Division",Mobile Command Center Los Angeles Sheriff’s Department 27,"$1,000,000 ",Whitesides,
Department of Justice,OJP Byrne, CA,Santa Clarita Valley Boys & Girls Club,Santa Clarita Valley and Antelope Valley Boys & Girls Club Opioid & Substance Use Prevention Initiative,"$1,031,000 ",Whitesides,
Department of Justice,OJP Byrne, GA,Center for Employment Opportunities,Job Training & Career Pathways for Georgia’s Returning Citizens,"$300,000 ",Williams (GA),
Department of Justice,OJP Byrne, GA,Clark Atlanta University,Clark Atlanta University Security Project,"$250,000 ",Williams (GA),
Department of Justice,OJP Byrne, GA,"Communities In Schools of Atlanta, Inc.",Violence Prevention and Mental Health Programming in Metro Atlanta Schools,"$401,000 ",Williams (GA),
Department of Justice,OJP Byrne, GA,Georgia Center for Child Advocacy,Justice & Healing for the Fighting Fifth,"$850,000 ",Williams (GA),
Department of Justice,OJP Byrne, GA,Morris Brown College,Scaling Security & Safety at Morris Brown College,"$700,000 ",Williams (GA),
Department of Justice,OJP Byrne, GA,Spelman College,SAFE–SPEL: Spelman College Public Safety Department’s Advanced Framework for Ensuring Safety and Security on Campus,"$437,000 ",Williams (GA),
Department of Justice,OJP Byrne, FL,Broward County Public Schools,Broward County Public Schools Youth Empowerment and Safety Initiative (YES Initiative),"$1,031,000 ",Wilson (FL),
Department of Justice,OJP Byrne, FL,City of Miramar,Empowering Miramar Youth: Crime Prevention Through Community Engagement,"$1,031,000 ",Wilson (FL),
Department of Justice,OJP Byrne, FL,City of Opa-Locka,Empowering Opa-Locka Youth: Crime Prevention Through Community Engagement,"$1,031,000 ",Wilson (FL),
Department of Justice,OJP Byrne, FL,Duval County Public Schools,Duval County Public Schools Youth Empowerment and Safety Initiative (YES Initiative),"$1,031,000 ",Wilson (FL),
Department of Justice,OJP Byrne,FL,Miami-Dade County Public Schools,Miami-Dade County Public Schools Youth Empowerment and Safety Initiative (YES Initiative),"$1,039,000 ",Wilson (FL),
Department of Justice,OJP Byrne, MT,Gallatin County Sheriff’s Office,Gallatin County Sheriff’s Office Rapid DNA Capabilities and Patrol Vehicles,"$906,660 ",Zinke,
Department of Justice,OJP Byrne, MT,Mineral County,Five-County Law Enforcement Resilience Project,"$2,889,500 ",Zinke,
Department of Justice,COPS Tech, CA,City of Rialto,Rialto Police Station’s Technology and Safety Equipment Project,"$1,031,000 ",Aguilar,
Department of Justice,COPS Tech, CA,City of San Bernardino,San Bernardino Mobile Crime Prevention Program,"$1,031,000 ",Aguilar,
Department of Justice,COPS Tech, MO,City of Peculiar,Peculiar Police Department Radios,"$120,000 ",Alford,
Department of Justice,COPS Tech, RI,Bristol Rhode Island Police Department,Bristol PD Interoperable Encrypted Radio Project,"$966,000 ",Amo,
Department of Justice,COPS Tech, RI,Smithfield Police Department,Essential Technology and Equipment for Smithfield Police Department,"$785,000 ",Amo,
Department of Justice,COPS Tech, RI,Town of North Smithfield,North Smithfield Police Department Improvements,"$500,000 ",Amo,
Department of Justice,COPS Tech, NV,"Douglas County, Nevada, Sheriff’s Office",Douglas County Sheriff’s Office Mobile Command Center,"$400,000 ",Amodei,
Department of Justice,COPS Tech, NV,City of Fallon,Modernizing the Fallon Police Department Dispatch and Emergency Response Communication Network and Records Management System,"$1,000,000 ",Amodei,
Department of Justice,COPS Tech, NV,"City of Reno, Reno Police Department",Reno Police Department’s Real Time Information Center Project,"$1,200,000 ",Amodei,
Department of Justice,COPS Tech, NV,Washoe County,Northern Nevada Mobile Intelligence Response Vehicle,"$3,000,000 ",Amodei,
Department of Justice,COPS Tech, AZ,City of Phoenix,Phoenix Real Time Crime Center (RTCC),"$1,031,000 ",Ansari,
Department of Justice,COPS Tech, NE,Douglas County Sheriff’s Office,Preventing Criminal Activity and Enhancing Community Safety,"$597,658 ",Bacon,
Department of Justice,COPS Tech, MI,City of East Lansing,East Lansing Police Department Public Safety & Security Enhancements Initiative,"$472,000 ",Barrett,
Department of Justice,COPS Tech, MO,City of Vinita Park,Vinita Park & 8 Municipalities Police Equipment and Vehicle Upgrades,"$324,000 ",Bell,
Department of Justice,COPS Tech,CA,Sacramento County Sheriff’s Office,Sacramento County Sheriff’s Office ICAC Technology Project,"$800,000 ",Bera,
Department of Justice,COPS Tech, MI,"County of Houghton, Michigan",Houghton County Patrol Vehicles Request,"$177,000 ",Bergman,
Department of Justice,COPS Tech, VA,"City of Alexandria, VA",Radio System Interoperability Upgrade,"$650,000 ",Beyer,
Department of Justice,COPS Tech, VA,"City of Alexandria, VA",Violence and Crime Prevention Technology within the City of Alexandria,"$670,000 ",Beyer,
Department of Justice,COPS Tech, FL,Citrus County Sheriff’s Office,Citrus Sheriff Enhanced Radio Interoperability,"$3,000,000 ",Bilirakis,
Department of Justice,COPS Tech, FL,District School Board of Pasco County,Weapons Detection Enhancement and Security Updates for Pasco County Schools,"$1,750,000 ",Bilirakis,
Department of Justice,COPS Tech, GA,"City of Newton, GA",City of Newton Public Safety,"$120,000 ",Bishop (GA),
Department of Justice,COPS Tech, GA,Columbus State University,Columbus State University Public Safety Investment,"$313,000 ",Bishop (GA),
Department of Justice,COPS Tech, GA,Early County Board of Commissioners,Regional E911 Equipment Upgrade,"$629,000 ",Bishop (GA),
Department of Justice,COPS Tech, OR,Clatsop County,Clatsop County Public Safety Equipment & 911 Operations Initiative,"$1,031,000 ",Bonamici,
Department of Justice,COPS Tech, IL,Clinton County Government,Countywide Emergency Radio and Communication System,"$2,100,000 ",Bost,
Department of Justice,COPS Tech, PA,Scranton Police Department,Scranton Police Department Equipment and Technology Upgrades,"$500,000 ",Bresnahan,
Department of Justice,COPS Tech, OH,Cuyahoga County Executive’s Office,Internet Crimes Against Children Taskforce Technology,"$500,000 ",Brown,
Department of Justice,COPS Tech, IL,City of Gillespie,Gillespie Rural Policing Technology Equipment,"$200,000 ",Budzinski,
Department of Justice,COPS Tech, CA,County of San Luis Obispo,San Luis Obispo County Jail Security System Project,"$1,031,000 ",Carbajal,
Department of Justice,COPS Tech, OH,Ohio Jewish Communities on behalf of JewishColumbus,Community Security Technology Funding Project,"$300,000 ",Carey,
Department of Justice,COPS Tech, IN,Indiana State Police,Indiana State Police Internet Crimes Against Children (ICAC) Task Force Program Equipment,"$675,000 ",Carson,
Department of Justice,COPS Tech,HI,Honolulu Police Department,Emergency Mobile Command Vehicle,"$1,000,000 ",Case,
Department of Justice,COPS Tech, TX,"Bexar County, Texas",Bexar County Emergency Communications Radio Replacement,"$1,031,000 ",Castro,
Department of Justice,COPS Tech, FL,City of Sunrise/Sunrise Police Department,City of Sunrise Regional Park Safety and Security Enhancements,"$1,031,000 ",Cherfilus-McCormick,
Department of Justice,COPS Tech, CA,City of Pasadena,Regional Public Safety Communications Upgrade Pasadena Prime Site and Repeater Sites,"$1,031,000 ",Chu,
Department of Justice,COPS Tech, CA,City of South Pasadena,South Pasadena Public Safety Radio Communications Upgrades,"$1,031,000 ",Chu,
Department of Justice,COPS Tech, CA,The Upland Police Department,Computer-Aided Dispatch/Records Management System Upgrade,"$1,031,000 ",Chu,
Department of Justice,COPS Tech, AZ,City of Tucson,Community Safety Vehicle Fleet Modernization,"$4,200,000 ",Ciscomani,
Department of Justice,COPS Tech, CA,City of Covina,Covina East San Gabriel Valley Police Communications Project,"$1,031,000 ",Cisneros,
Department of Justice,COPS Tech, CA,City of La Verne,Modernization of La Verne’s Public Safety Dispatch Center & Response Infrastructure Project,"$1,031,000 ",Cisneros,
Department of Justice,COPS Tech, CA,City of Monrovia,Monrovia Police Department’s Critical Communication Center Upgrade to Regional Interoperability Project,"$1,031,000 ",Cisneros,
Department of Justice,COPS Tech, MO,"Board of Police Commissioners of Kansas City, Missouri",Police Aviation Technology Equipment,"$1,031,000 ",Cleaver,
Department of Justice,COPS Tech, MO,"City of Lee’s Summit, Missouri",Public Safety Technology Equipment,"$1,039,000 ",Cleaver,
Department of Justice,COPS Tech, MO,Kansas City Area Transportation Authority,Public Safety Technology,"$1,031,000 ",Cleaver,
Department of Justice,COPS Tech, TN,Memphis Police Department,Memphis Police Department Equipment and Software Upgrades Project,"$1,031,000 ",Cohen,
Department of Justice,COPS Tech, VA,Fairfax County Government,Fairfax County Real Time Crime Center Enhancements for Emerging Threats,"$1,031,000 ",Connolly,
Department of Justice,COPS Tech, VA,Fairfax County Government,Advanced Disaster Management Simulator (ADMS) Training Project,"$175,000 ",Connolly,
Department of Justice,COPS Tech, VA,Fairfax County Government,Fairfax County Public Safety Communications Critical Infrastructure Project,"$1,031,000 ",Connolly,
Department of Justice,COPS Tech, CA,City of Orange,Real Time Crime Center,"$1,031,000 ",Correa,
Department of Justice,COPS Tech, CT,Coventry Police Department,Coventry Police Department Dispatch and Body Camera Equipment Upgrades,"$446,000 ",Courtney,
Department of Justice,COPS Tech, CT,Ledyard Police Department,Ledyard Police Department Dispatch System Replacement,"$229,000 ",Courtney,
Department of Justice,COPS Tech, MN,City of Burnsville,Burnsville Public Safety Mobile Command Post Replacement,"$1,039,000 ",Craig,
Department of Justice,COPS Tech, MN,City of Elko New Market,Elko New Market Police Camera Upgrades,"$104,000 ",Craig,
Department of Justice,COPS Tech, MN,City of Lonsdale,Lonsdale Public Safety Technology and Communication Improvement,"$182,000 ",Craig,
Department of Justice,COPS Tech, MN,City of Woodbury,Public Safety Communications and Response Equipment,"$1,031,000 ",Craig,
Department of Justice,COPS Tech, MN,Scott County,Scott County Law Enforcement Records Management System Upgrades,"$1,031,000 ",Craig,
Department of Justice,COPS Tech, TX,Montgomery County,East Montgomery County Radio Tower Enhancement,"$4,200,000 ",Crenshaw,
Department of Justice,COPS Tech, TX,"City of Dallas, TX",City of Dallas Police Department Helicopter Multi-Use Mapping Computers Project,"$204,000 ",Crockett,
Department of Justice,COPS Tech, TX,"City of DeSoto, Texas Police Department",City of DeSoto Police Department Violent Crime Prevention Technology Project,"$360,000 ",Crockett,
Department of Justice,COPS Tech, CO,Arapahoe County Sheriff’s Office,Law Enforcement Radio and Communications Technology Upgrades,"$1,031,000 ",Crow,
Department of Justice,COPS Tech, KS,Overland Park Police Department,Overland Park Police Department Body Camera Replacement,"$1,031,000 ",Davids,
Department of Justice,COPS Tech, PA,Allegheny Valley Regional Police Department,Police Patrol Boat,"$125,000 ",Deluzio,
Department of Justice,COPS Tech, PA,Ross Township Police Department,Body Worn Cameras/In Car Cameras,"$502,000 ",Deluzio,
Department of Justice,COPS Tech, OR,City of Gresham,Real-Time Information Center,"$907,000 ",Dexter,
Department of Justice,COPS Tech, FL,Village of Virginia Gardens,Village of Virginia Garden’s Law Enforcement Technology Upgrades,"$450,000 ",Diaz-Balart,
Department of Justice,COPS Tech, FL,Miami-Dade Sheriff’s Office,Miami-Dade Sheriff Office Mobile Operation Command Center Upgrades,"$1,050,000 ",Diaz-Balart,
Department of Justice,COPS Tech, FL,Miami-Dade Sheriff’s Office,Miami-Dade Sheriff Office Global Public Safety and Equipment Expansion,"$4,200,000 ",Diaz-Balart,
Department of Justice,COPS Tech,MI,Charter Township of Canton,Canton Township Bi-Directional Antennas Project,"$1,031,000 ",Dingell,
Department of Justice,COPS Tech, MI,Downriver Community Conference,DCC Downriver Public Safety Technology Improvements Project,"$1,031,000 ",Dingell,
Department of Justice,COPS Tech,MT,Lewis & Clark County Sheriff’s Office,Lewis and Clark County Sheriff’s Office Communications Equipment,"$500,000 ",Downing,
Department of Justice,COPS Tech,Fl,Washington County Sheriff’s Office,Washington County Sheriff’s Office Public Safety Communications Tower Upgrade,"$375,000 ",Dunn,
Department of Justice,COPS Tech, FL,Liberty County Sheriff’s Office,Bristol Microwave Site Transmit and Receive Conversion,"$495,000 ",Dunn,
Department of Justice,COPS Tech, FL,Jackson County Sheriff’s Office,Community Outreach Center,"$1,250,000 ",Dunn,
Department of Justice,COPS Tech, FL,Tallahassee Police Department (TPD),Tallahassee Police Department Training Facility Indoor Tactical Firing Range Equipment,"$2,100,000 ",Dunn,
Department of Justice,COPS Tech, NC,Yancey County Sheriff’s Office,Yancey County Sheriff’s Office Communications and Security Upgrades,"$930,000 ",Edwards,
Department of Justice,COPS Tech, MD,Annapolis Police Department,Annapolis Mobile Command Unit,"$1,031,000 ",Elfreth,
Department of Justice,COPS Tech, MD,"Anne Arundel County, Maryland",Joint 911 Public Safety Center Technology,"$1,031,000 ",Elfreth,
Department of Justice,COPS Tech, TX,Anthony Texas Police Department,Town of Anthony Texas Police Department Mobile Command Post and Technology,"$1,031,000 ",Escobar,
Department of Justice,COPS Tech, TX,Rio Grande Council of Governments,Regional Interoperable Communications Project,"$1,031,000 ",Escobar,
Department of Justice,COPS Tech, MS,"Jackson County, Mississippi",Enhancement of Jackson County Public Safety Equipment and Technology,"$1,919,422 ",Ezell,
Department of Justice,COPS Tech, AL,Bullock County Sheriff’s Department,Bullock County Sheriff Department,"$1,031,000 ",Figures,
Department of Justice,COPS Tech, TX,Fort Bend County District Attorney’s Office,Fort Bend County Digital Evidence Repository,"$1,031,000 ",Fletcher,
Department of Justice,COPS Tech, TX,Harris County Sheriff’s Office,Mobile Command Posts,"$1,031,000 ",Fletcher,
Department of Justice,COPS Tech, NE,City of Lincoln Police Department,Lincoln Police Department Cruisers,"$474,842 ",Flood,
Department of Justice,COPS Tech, CA,City of Tulare,City of Tulare’s Police Dispatch Expansion Project,"$579,150 ",Fong,
Department of Justice,COPS Tech, NC,City of Durham Police Department,Real-Time Crime Center Technology and Equipment,"$1,031,000 ",Foushee,
Department of Justice,COPS Tech, NC,Durham County Office of the Sheriff,Mobile Command Center Project,"$1,000,000 ",Foushee,
Department of Justice,COPS Tech, CA,City of Glendale,Verdugo Communications Center Equipment Upgrades,"$1,031,000 ",Friedman,
Department of Justice,COPS Tech, CA,Glendale Police Department,Real Time Intelligence Center Expansion,"$1,031,000 ",Friedman,
Department of Justice,COPS Tech, SC,City of Marion,City of Marion Police Department Equipment Upgrade Project,"$105,000 ",Fry,
Department of Justice,COPS Tech, SC,Horry County Government,Horry County Emergency Communications Enhancements Project,"$523,740 ",Fry,
Department of Justice,COPS Tech, SC,Marion County Sheriff’s Office,Marion County Sheriff’s Office County Wide Time Division Multiple Access (TDMA) Capable Radios,"$567,148 ",Fry,
Department of Justice,COPS Tech, SC,Francis Marion University,Francis Marion University (FMU) Campus Police Security Improvements,"$754,500 ",Fry,
Department of Justice,COPS Tech,SC,Chesterfield County Sheriff’s Office,Chesterfield County Radio Improvement Project,"$3,943,978 ",Fry,
Department of Justice,COPS Tech, CA,County of Solano,Solano County Radio Infrastructure and Interoperability Improvements,"$1,031,000 ",Garamendi,
Department of Justice,COPS Tech, CA,The City of Vallejo Police Department,Vallejo Police Department’s Resiliency and Elevated Public Safety Project (Mobile Unit),"$1,031,000 ",Garamendi,
Department of Justice,COPS Tech, IL,Village of Stickney Department of Police,Stickney Police Radio Upgrades,"$428,000 ",Garcia (IL),
Department of Justice,COPS Tech, NY,Incorporated Village of Rockville Centre,Rockville Centre Police Security Cameras,"$1,031,000 ",Gillen,
Department of Justice,COPS Tech, FL,City of Sweetwater,City of Sweetwater Policing Equipment and Safety Project,"$1,050,000 ",Gimenez,
Department of Justice,COPS Tech, TX,Terrell County Sheriff’s Office,Terrell County Law Enforcement Communications Upgrades,"$3,200,000 ",Gonzales, Tony (TX)
Department of Justice,COPS Tech, TX,Medina County,Medina County Radio Communications Upgrades,"$4,200,000 ",Gonzales, Tony (TX)
Department of Justice,COPS Tech, TX,North East Independent School District (ISD) Police Department,North East Independent School District (NEISD) Law Enforcement Safety and Security Enhancements,"$4,200,000 ",Gonzales, Tony (TX)
Department of Justice,COPS Tech, TX,Cameron County Sheriff’s Office,Cameron County Sheriff’s Bulletproof Windshields,"$375,000 ",Gonzalez,
Department of Justice,COPS Tech, NH,Cheshire County,Portable Radio Update Cheshire County Law Enforcement,"$300,000 ",Goodlander,
Department of Justice,COPS Tech, NJ,Bergenfield Police Department,Emergency Services Communications Equipment Improvement Project,"$1,031,000 ",Gottheimer,
Department of Justice,COPS Tech, CA,City of Modesto,City of Modesto Police Enhanced Radio System,"$1,031,000 ",Gray,
Department of Justice,COPS Tech, GA,Floyd County Board of Commissioners,Communications Improvement Strategy for Floyd County,"$1,731,500 ",Greene,
Department of Justice,COPS Tech, VA,"City of Bristol, Virginia","Police Vehicles for the City of Bristol, Virginia Project","$294,800 ",Griffith,
Department of Justice,COPS Tech, VA,"Franklin County, VA",Franklin County Law Enforcement Radio Upgrades Project,"$607,968 ",Griffith,
Department of Justice,COPS Tech, VA,Craig County Sheriff’s Office,Craig County Emergency Communications Project,"$1,400,000 ",Griffith,
Department of Justice,COPS Tech, VA,Dickenson County Board of Supervisors,Dickenson County Sheriff’s Department Public Safety Communications Upgrade Project,"$859,095 ",Griffith,
Department of Justice,COPS Tech,VA,New River Valley Emergency Communications Regional Authority,New River Valley Emergency Communications Regional Authority (NRVECRA) Interoperable P25 Public Safety Communications System Project,"$2,100,000 ",Griffith,
Department of Justice,COPS Tech, WY,"Carbon County, WY",Police Pursuit Vehicle Acquisition,"$600,000 ",Hageman,
Department of Justice,COPS Tech, AZ,City of Phoenix,Law Enforcement Simulator Training Equipment,"$1,900,000 ",Hamadeh,
Department of Justice,COPS Tech, CA,City of Lodi,Lodi Police Department’s Regional Training Facility,"$1,031,000 ",Harder,
Department of Justice,COPS Tech, CA,City of Manteca,Manteca PD’s Real Time Information Center,"$599,000 ",Harder,
Department of Justice,COPS Tech, CA,City of Stockton,City of Stockton’s Combating Crime in Real Time Program,"$1,000,000 ",Harder,
Department of Justice,COPS Tech, NC,Town of Catawba,Town of Catawba Police Fleet Upgrade,"$353,015 ",Harrigan,
