Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Housing and Urban Development,Economic Development Initiatives,DE,Green Beret Project,Capital Improvements and Expansion.,"$300,000.00 ",Coons,
Department of Housing and Urban Development,Economic Development Initiatives,DE,Wilmington Neighborhood Land Bank,Affordable Housing Acquisition and Rehabilitation.,"$500,000.00 ",Coons,
Department of Housing and Urban Development,Economic Development Initiatives,DE,Better Homes of Seaford,Affordable Housing Development,"$716,000.00 ",Coons,
Department of Housing and Urban Development,Economic Development Initiatives,DE,Milford Housing Development Corporation.,Affordable Housing Development,"$750,000.00 ",Coons,
Department of Housing and Urban Development,Economic Development Initiatives,DE,Sussex County Habitat for Humanity,Southern Delaware Affordable Housing Development.,"$1,000,000.00 ",Coons,
Department of Housing and Urban Development,Economic Development Initiatives,DE,"Central Delaware Habitat for Humanity, Inc..",Affordable Housing in Central Delaware.,"$1,008,000.00 ",Coons,
Department of Housing and Urban Development,Economic Development Initiatives,DE,"Friendship House, Inc.",Housing Development and Renovations.,"$1,585,000.00 ",Coons,
Department of Housing and Urban Development,Economic Development Initiatives,DE,YMCA of Delaware,Capital Improvements,"$1,915,000.00 ",Coons,
Department of Housing and Urban Development,Economic Development Initiatives,DE,"Ministry of Caring, Inc.",Affordable Housing Development and Renovations.,"$2,000,000.00 ",Coons,
Department of Housing and Urban Development,Economic Development Initiatives,DE,NeighborGood Partners,Affordable Housing Development,"$2,000,000.00 ",Coons,
Department of Housing and Urban Development,Economic Development Initiatives,DE,Community Education Building Corporation.,Capital Improvements,"$5,000,000.00 ",Coons,
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Valdosta,Burn Building Training Facility,"$845,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Atlanta Braves Foundation,Hank Aaron Academy at Southside Park.,"$1,000,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Habitat for Humanity of Hall County,New Homes Construction in Hall County.,"$1,005,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Baldwin County,Affordable Housing Development,"$1,312,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Chickamauga,Historic Downtown Chickamauga Blight Remediation.,"$1,450,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,"Atlanta Technical College Foundation, Inc..",Center for Transportation and Logistics.,"$1,500,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,The Housing Authority of the City of Atlanta.,Bowen Homes Chivers Street Plaza & Community Transformation.,"$1,500,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Hancock County Board of Commissioners.,Recreational Park Renovation,"$1,750,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Salvation Army of Gainesville,Homeless Resource Center Upgrades,"$1,800,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Ser Familia,A Place for Familia: Renovations to Expand Programming.,"$1,894,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Rockdale County Board of Commissioners.,Senior Center Satellite Project,"$1,900,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Fulton County Government,Senior Centers Modernization,"$2,015,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Cobb & Douglas Public Health,South Cobb Integrated Health Campus.,"$3,000,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Unified Government of Athens-Clarke County.,Howard Park and Community Center Expansion.,"$3,491,000.00 ",Ossoff,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Georgia College and State University,GCSU Bobcat Business Incubator: Library Renovation.,"$360,000.00 ",Ossoff, Warnock
Department of Housing and Urban Development,Economic Development Initiatives,GA,Atlanta Public Schools,Atlanta Community Schoolyards,"$700,000.00 ",Ossoff, Warnock
Department of Housing and Urban Development,Economic Development Initiatives,GA,Habitat for Humanity North Central Georgia.,Affordable Homes in the City of Holly Springs.,"$830,000.00 ",Ossoff, Warnock
Department of Housing and Urban Development,Economic Development Initiatives,GA,"YMCA of Metropolitan Atlanta, Inc. ..",Upgrading YMCA Facilities,"$1,039,000.00 ",Ossoff, Warnock
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of LaGrange,Ladder Truck for LaGrange Fire Department.,"$1,150,000.00 ",Ossoff, Warnock
Department of Housing and Urban Development,Economic Development Initiatives,GA,Chatham County,East Savannah Early Childhood Learning Center.,"$1,678,000.00 ",Ossoff, Warnock
Department of Housing and Urban Development,Economic Development Initiatives,GA,Augusta/CSRA Habitat for Humanity,Building Affordable Homes in Turpin Hill.,"$1,850,000.00 ",Ossoff, Warnock
Department of Housing and Urban Development,Economic Development Initiatives,GA,"Butler Street Community Development Corporation, Inc..",John Lewis Memorial Park,"$2,000,000.00 ",Ossoff, Warnock
Department of Housing and Urban Development,Economic Development Initiatives,GA,"Boys & Girls Club of Baldwin and Jones Counties, Inc..",Facility Revitalization,"$100,000.00 ",Warnock,
Department of Housing and Urban Development,Economic Development Initiatives,GA,"Atlanta Land Trust, Inc.",Expanding Affordable Homeownership and Access to Economic Development.,"$1,000,000.00 ",Warnock,
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Albany,Albany Medical District Housing,"$1,000,000.00 ",Warnock,
Department of Housing and Urban Development,Economic Development Initiatives,GA,"Rainbow Village, Inc.",Rainbow Village Phase II,"$1,100,000.00 ",Warnock,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Chatham County,Chatham County Workforce Housing,"$1,120,000.00 ",Warnock,
Department of Housing and Urban Development,Economic Development Initiatives,GA,"MicroLife Institute, Inc.",Downtown Lyons Affordable Workforce Housing.,"$1,232,000.00 ",Warnock,
Department of Housing and Urban Development,Economic Development Initiatives,GA,City of Savannah,Housing Acquisition Initiative,"$1,500,000.00 ",Warnock,
Department of Housing and Urban Development,Economic Development Initiatives,GA,Stephen Siller Tunnel to Towers Foundation.,Atlanta Veterans Village,"$1,500,000.00 ",Warnock,
Department of Housing and Urban Development,Economic Development Initiatives,GA,"Valdosta-Lowndes County Habitat for Humanity, Inc..",Building Bridges to Affordable Housing.,"$1,500,000.00 ",Warnock,
Department of Housing and Urban Development,Economic Development Initiatives,GA,"Columbus Housing Initiative, Inc. ....",Elliott’s Walk,"$1,800,000.00 ",Warnock,
Department of Housing and Urban Development,Economic Development Initiatives,HI,"Hawaii Foodbank, Inc.",Hawaii Foodbank Waipahu Facility ...,"$1,600,000.00 ",Hirono, Schatz
Department of Housing and Urban Development,Economic Development Initiatives,HI,Dynamic Community Solutions,Pu’uhonua O Wai’anae Village Infrastructure.,"$1,987,000.00 ",Hirono, Schatz
Department of Housing and Urban Development,Economic Development Initiatives,HI,County of Kauai,Kilauea Town Expansion Project,"$2,000,000.00 ",Hirono, Schatz
Department of Housing and Urban Development,Economic Development Initiatives,HI,Palama Settlement,Palama Settlement Revitalization Project.,"$3,000,000.00 ",Hirono, Schatz
Department of Housing and Urban Development,Economic Development Initiatives,HI,Child and Family Service,Maui Family Strengthening and Resilience Center.,"$5,000,000.00 ",Hirono, Schatz
Department of Housing and Urban Development,Economic Development Initiatives,HI,Hope Services Hawaii,Mountain View Supportive Housing ..,"$1,000,000.00 ",Schatz,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Lanakila Pacific,Lanakila Pacific Air Conditioning Replacement.,"$1,000,000.00 ",Schatz,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Young Women’s Christian Association of Oahu.,Kaneohe Transitional Housing,"$1,000,000.00 ",Schatz,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Girl Scouts of Hawaii,Camp Pi’iholo Renovations,"$1,120,000.00 ",Schatz,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Statewide Office on Homelessness and Housing Solutions.,"Expanding Crisis, Outreach, Response and Engagement (CORE) Homeless Services Program.","$1,200,000.00 ",Schatz,
Department of Housing and Urban Development,Economic Development Initiatives,HI,County of Hawaii,Kukuiola Supportive Housing,"$1,892,000.00 ",Schatz,
Department of Housing and Urban Development,Economic Development Initiatives,HI,City and County of Honolulu,Honolulu Low-Income Housing Improvements.,"$2,000,000.00 ",Schatz,
Department of Housing and Urban Development,Economic Development Initiatives,HI,"The Food Basket, Inc.",Commercial Building for Hilo Farmers.,"$2,000,000.00 ",Schatz,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Parents And Children Together,PACT Community Hub Property Improvements.,"$2,011,000.00 ",Schatz,
Department of Housing and Urban Development,Economic Development Initiatives,HI,Helping Hands Hawai’i,Facility Renovation,"$2,088,000.00 ",Schatz,
Department of Housing and Urban Development,Economic Development Initiatives,IL,"BEDS Plus, Inc.",Triage Transitional Shelter,"$650,000.00 ",Duckworth,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Boys & Girls Clubs of Chicago,True Value Boys & Girls Club Accessibility Upgrades.,"$750,000.00 ",Duckworth,
Department of Housing and Urban Development,Economic Development Initiatives,IL,People for Community Recovery,Hazel Johnson Job Training and Community Center.,"$900,000.00 ",Duckworth,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Illinois Facilities Fund,Home First Housing,"$1,000,000.00 ",Duckworth,
Department of Housing and Urban Development,Economic Development Initiatives,IL,The Outlet Mentoring Program,Outlet Mentoring Program Center,"$1,000,000.00 ",Duckworth,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Volunteers of America Illinois,Hope Manor Village Joliet Housing Expansion.,"$1,000,000.00 ",Duckworth,
Department of Housing and Urban Development,Economic Development Initiatives,IL,"North Lawndale Catalyst Impact Initiative, Inc..",North Lawndale Community Revitalization with Economic Empowerment Hub.,"$1,600,000.00 ",Duckworth,
Department of Housing and Urban Development,Economic Development Initiatives,IL,City of Carbondale,Homeless Center Facility Development.,"$2,000,000.00 ",Duckworth,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Lincoln Presidential Foundation,Facility Improvements,"$450,000.00 ",Durbin,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Board of Trustees of Southern Illinois University.,Facilities Improvements and Technology Upgrades.,"$500,000.00 ",Durbin,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Boys & Girls Clubs of Chicago,Capital Improvements,"$500,000.00 ",Durbin,
Department of Housing and Urban Development,Economic Development Initiatives,IL,"Carbondale Community Arts, Inc. dba Artspace 304.",Economic Hub Project,"$693,000.00 ",Durbin,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Navy Pier Inc.,Equipment Upgrades,"$722,000.00 ",Durbin,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Full Circle Communities,Supportive Housing Development,"$750,000.00 ",Durbin,
Department of Housing and Urban Development,Economic Development Initiatives,IL,City of North Chicago,Fire Truck,"$861,000.00 ",Durbin,
Department of Housing and Urban Development,Economic Development Initiatives,IL,North Lawndale Employment Network,Workforce Accelerator Program,"$1,000,000.00 ",Durbin,
Department of Housing and Urban Development,Economic Development Initiatives,IL,City of Hamilton,Food Security Project,"$2,500,000.00 ",Durbin,
Department of Housing and Urban Development,Economic Development Initiatives,IL,Illinois Institute of Technology,Construction of the National Institute for Advanced Manufacturing.,"$2,500,000.00 ",Durbin,
Department of Housing and Urban Development,Economic Development Initiatives,IL,State of Illinois,Land Remediation,"$3,000,000.00 ",Durbin,
Department of Housing and Urban Development,Economic Development Initiatives,KS,"Mennonite Housing Rehabilitation Services, Inc..",Wichita Affordable Housing Rehabilitation.,"$825,000.00 ",Moran,
Department of Housing and Urban Development,Economic Development Initiatives,KS,Kansas State Historical Society,John Brown Memorial Park & Visitors Center.,"$2,000,000.00 ",Moran,
Department of Housing and Urban Development,Economic Development Initiatives,KS,McPherson Housing Coalition,McPherson Affordable Housing Development.,"$2,000,000.00 ",Moran,
Department of Housing and Urban Development,Economic Development Initiatives,KS,Cerebral Palsy Research Foundation of Kansas Inc.,The Timbers Housing Renovation Project.,"$2,500,000.00 ",Moran,
Department of Housing and Urban Development,Economic Development Initiatives,KS,Prairie Band Potawatomi Nation,Head Start Facility,"$4,968,000.00 ",Moran,
Department of Housing and Urban Development,Economic Development Initiatives,KY,Somerset-Pulaski Economic Development Authority.,Barnesburg Road Bridge Construction.,"$1,450,000.00 ",McConnell,
Department of Housing and Urban Development,Economic Development Initiatives,KY,City of Covington,Riverfront Podium and Land Bridge Infrastructure.,"$4,500,000.00 ",McConnell,
Department of Housing and Urban Development,Economic Development Initiatives,KY,Owensboro Family YMCA,Owensboro and Daviess County Community Childcare Center.,"$6,600,000.00 ",McConnell,
Department of Housing and Urban Development,Economic Development Initiatives,KY,Louisville-Jefferson County Metro Government.,Belvedere Transformation,"$7,000,000.00 ",McConnell,
Department of Housing and Urban Development,Economic Development Initiatives,KY,McCreary County Heritage Foundation.,Historic Stearns Revitalization,"$11,000,000.00 ",McConnell,
Department of Housing and Urban Development,Economic Development Initiatives,KY,Barren County,Cave City Area Agriculture Exposition Center.,"$20,000,000.00 ",McConnell,
Department of Housing and Urban Development,Economic Development Initiatives,LA,University of New Orleans,Shea Penland Coastal Research Educational Facility Upgrades.,"$1,500,000.00 ",Cassidy,
Department of Housing and Urban Development,Economic Development Initiatives,LA,City of Monroe,Benoit Community Center Improvements.,"$4,500,000.00 ",Cassidy,
Department of Housing and Urban Development,Economic Development Initiatives,LA,City of Baton Rouge-Parish of East Baton Rouge.,Canal Retrofit Project,"$5,000,000.00 ",Cassidy,
Department of Housing and Urban Development,Economic Development Initiatives,LA,Nicholls State University,Engineering Workforce Development Center.,"$6,500,000.00 ",Cassidy,
Department of Housing and Urban Development,Economic Development Initiatives,LA,Second Harvest Food Bank of Greater New Orleans and Acadiana.,Second Harvest Food Bank,"$2,000,000.00 ",Kennedy,
Department of Housing and Urban Development,Economic Development Initiatives,LA,Terrebonne Churches United Food Bank.,Food Bank Improvements,"$2,500,000.00 ",Kennedy,
Department of Housing and Urban Development,Economic Development Initiatives,LA,City of Abbeville,Riverfront Revitalization,"$4,500,000.00 ",Kennedy,
Department of Housing and Urban Development,Economic Development Initiatives,LA,England Airpark,Aviation Career and Education (ACE) Initiative Building Construction.,"$4,500,000.00 ",Kennedy,
Department of Housing and Urban Development,Economic Development Initiatives,LA,Lafayette Consolidated Government,Lafayette Emergency Operations Center.,"$5,000,000.00 ",Kennedy,
Department of Housing and Urban Development,Economic Development Initiatives,LA,Lincoln Parish Police Jury,Rough Edge Road Interchange,"$7,000,000.00 ",Kennedy,
Department of Housing and Urban Development,Economic Development Initiatives,MA,St. Francis House,Shelter Renovations,"$200,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,Revitalize Community Development Corporation.,Healthy Homes for Low-Income Families.,"$250,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,Centerboard,Young Parent Living Program,"$373,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,La Colaborativa,Chelsea Apprenticeship Institute,"$750,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,"UTEC, Inc.",UTEC Workforce Development Infrastructure.,"$773,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,"Cape & Islands Veterans Outreach Center, Inc..",Veterans Affordable Housing—Pitchers Way Hyannis.,"$853,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,City of Leominster,Leominster Senior Center Renovation,"$893,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,Boston Housing Authority,Fairmount Modernization,"$1,000,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,"FamilyAid Boston, Inc.",FamilyAid’s West Newton Family Navigation Center.,"$1,000,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,South Shore Young Men’s Christian,Association. Germantown Food Pantry Expansion,"$1,000,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,Mashpee Wampanoag Tribe,Plaza Del Sol Transitional Housing Project.,"$1,152,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,"Easterseals Massachusetts, Inc.",The Bridge Center,"$1,393,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,2Life Communities Development Inc,Treehouse at Community Center.,"$1,500,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,"Boys & Girls Clubs of Dorchester, Inc..",Marr-McLaughlin Campus Revitalization Project.,"$1,500,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,Lawrence CommunityWorks,Marriner Mill Community Service Facility.,"$1,500,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,"Waltham Boys & Girls Club, Inc.",Kitchen Project for Childhood Food Insecurity.,"$1,524,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,St. Mary’s Center for Women and Children.,Permanent Supportive Housing for Families Exiting Homelessness in Dorchester.,"$2,000,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,"Breaktime United, Inc.",The Hub for Solving Young Adult Homelessness.,"$2,107,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,Louis D. Brown Peace Institute,Louis D. Brown Peace Institute Construction.,"$2,500,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,People Incorporated,Expansion of People Incorporated Early Education Center.,"$2,500,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,Victory Programs,Residential Facility,"$2,600,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,"Children’s Services of Roxbury, Inc.",Center for Family Well-being,"$2,909,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,CitySpace Inc.,Restoration of Easthampton Old Town Hall.,"$3,500,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,"Peace Properties, Inc.",Ayer Commons Affordable Housing Development.,"$4,000,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,Hope for Youth and Families Inc.,Youth Arts Center,"$5,000,000.00 ",Markey, Warren
Department of Housing and Urban Development,Economic Development Initiatives,MA,YWCA of Western Massachusetts,"Facilities Renovation, Infrastructure Upgrades, and Equipment.","$1,223,000.00 ",Warren,
Department of Housing and Urban Development,Economic Development Initiatives,MD,"San Mar Children’s Home, Inc. dba San Mar Family and Community","Services, Inc.. Housing for Transitional Age Youth ..","$867,000.00 ",Alsobrooks,
Department of Housing and Urban Development,Economic Development Initiatives,MD,The Arc Prince George’s County,Affordable Housing Rehabilitation ....,"$1,840,000.00 ",Alsobrooks,
Department of Housing and Urban Development,Economic Development Initiatives,MD,City of Greenbelt,Greenbelt Springhill Lake Recreation Center Expansion.,"$250,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,City of Aberdeen,Aberdeen Activity Center Outdoor Recreation Improvements.,"$300,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,Maryland Deaf Community Center ....,Community Center Renovations,"$500,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,The Arc Baltimore,Home and Building Renovations and Accessible Vehicles.,"$644,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,Baltimore Museum of Industry,Echoes from the Key Bridge Facility,"$730,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,Frederick County,Taney Avenue Senior Center and Senior Affordable Housing.,"$1,000,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,"Montgomery Housing Partnership, Inc..",Amherst Affordable Housing Redevelopment.,"$1,000,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,"The Chimes Foundation, Inc.",Chimes Home Safety and Accessibility Renovation.,"$1,000,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,Latin American Youth Center,LAYC Prince George’s County Site Renovation.,"$1,500,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,"Meals on Wheels of Central Maryland, Inc..",Capital Improvements,"$1,500,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,Howard County Housing Commission,Artists Flats Apartments,"$2,000,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,"Ivy Community Charities of Prince George’s County, Inc..",Ivy Village Incubator for Nonprofit Excellence.,"$2,000,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,Sanctuary AP3 Co.,The Sanctuary Garden,"$2,000,000.00 ",Alsobrooks, Van Hollen
Department of Housing and Urban Development,Economic Development Initiatives,MD,Robert W. Johnson Community Center.,Community Center Revitalization Project.,"$500,000.00 ",Van Hollen,
Department of Housing and Urban Development,Economic Development Initiatives,MD,AfriThrive Inc.,Community Food Center Renovation,"$800,000.00 ",Van Hollen,
Department of Housing and Urban Development,Economic Development Initiatives,MD,Cedar Lane Senior Living Community III Inc..,Cedar Lane Senior Living Community Development.,"$1,500,000.00 ",Van Hollen,
Department of Housing and Urban Development,Economic Development Initiatives,MD,Parity Baltimore Incorporated,Parity Homes Strategic Acquisition Fund.,"$1,524,000.00 ",Van Hollen,
Department of Housing and Urban Development,Economic Development Initiatives,MD,Baltimore County Public Library,Essex Branch Construction,"$2,000,000.00 ",Van Hollen,
Department of Housing and Urban Development,Economic Development Initiatives,MD,"Easterseals DC MD VA, Inc.",Easterseals Hagerstown Child Development Center.,"$2,000,000.00 ",Van Hollen,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Brooks Historical Society,Pilley House Restoration,"$100,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of Eagle Lake,Fire Department Substation,"$150,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Patriarchs Club,Harmony Facility Construction,"$230,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Rumford Center Village Improvement Society.,Meeting House Restoration,"$232,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Millinocket Historical Society,ADA Compliance Upgrades,"$580,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Winter Harbor Historical Society,Facility Restoration,"$1,150,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Aroostook Agency on Aging,Aroostook Agency on Aging Facility Renovation.,"$1,370,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of Island Falls,Fire and Ambulance Department,"$1,603,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of Mars Hill,Community Center Renovation,"$2,000,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of Stacyville,Fire Station,"$2,000,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Down East Community Hospital,Down East Community Hospital Workforce Housing.,"$2,190,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of Dixmont,Fire and Rescue Station,"$2,332,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Lincoln Memorial Public Library,Lincoln Memorial Library Expansion,"$2,400,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Northern Forest Center Inc,Maine Woods Housing Initiative,"$2,500,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Sanford Housing Authority Development Corporation.,York County Workforce and Senior Housing.,"$2,500,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of Brownville,Brownville Fire Station,"$2,770,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Passamaquoddy Tribe at Indian Township.,Indian Township Passamaquoddy Housing Initiative.,"$2,985,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of Rumford,Childcare and Community Center,"$3,000,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of North Berwick,Fire and Rescue Station,"$3,400,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of Kenduskeag,Kenduskeag Fire Station,"$3,500,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of Easton,Fire Station,"$3,600,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,City of Sanford,Public Safety Facilities,"$5,000,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,City of Auburn,Auburn Area Infrastructure for Workforce Housing.,"$8,000,000.00 ",Collins,
Department of Housing and Urban Development,Economic Development Initiatives,ME,Community Care,Shaw House Youth Shelter Renovation.,"$848,000.00 ",Collins, King
Department of Housing and Urban Development,Economic Development Initiatives,ME,University of Maine at Fort Kent,Computer Training Facility,"$885,000.00 ",Collins, King
Department of Housing and Urban Development,Economic Development Initiatives,ME,SeniorsPlus,Older Adult Education and Nutrition Facility.,"$1,000,000.00 ",Collins, King
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of Kittery,Community Center Renovation,"$1,500,000.00 ",Collins, King
Department of Housing and Urban Development,Economic Development Initiatives,ME,Town of Van Buren,Small Business Incubator and Community Hub.,"$1,737,000.00 ",Collins, King
Department of Housing and Urban Development,Economic Development Initiatives,ME,Quoddy Tides Foundation,Masonic Hall Rehabilitation,"$2,000,000.00 ",Collins, King
Department of Housing and Urban Development,Economic Development Initiatives,ME,"Wesley Volunteer Fire Department, Inc..",Volunteer Fire Station,"$2,520,000.00 ",Collins, King
